marker,chromosome,position,basepair
UNC241230,1,20.947948,20947948
JAX00243875,1,21.043319,21043319
UNC243187,1,21.06485,21064850
JAX00243884,1,21.096614,21096614
UNC243821,1,21.099704,21099704
UNC244201,1,21.125991,21125991
UNC244917,1,21.160284,21160284
JAX00243904,1,21.186935,21186935
UNC245487,1,21.194052,21194052
UNC246230,1,21.261747,21261747
UNC246837,1,21.288738,21288738
backupUNC010527629,1,21.300176,21300176
UNC247939,1,21.347329,21347329
UNC248435,1,21.393539,21393539
UNC010046230,1,21.40414,21404140
UNC249229,1,21.437497,21437497
UNC249610,1,21.46027,21460270
UNC250092,1,21.489282,21489282
UNC250644,1,21.524896,21524896
UNC251139,1,21.558878,21558878
UNC251384,1,21.591279,21591279
UNC252166,1,21.640961,21640961
JAX00244011,1,21.650918,21650918
UNC252437,1,21.657167,21657167
UNC253175,1,21.690647,21690647
UNC253917,1,21.729342,21729342
JAX00244057,1,21.734712,21734712
UNC254389,1,21.756808,21756808
UNC254822,1,21.792702,21792702
JAX00244072,1,21.846522,21846522
UNC255790,1,21.852313,21852313
UNC256701,1,21.919421,21919421
UNC257250,1,21.954533,21954533
UNC257864,1,21.991889,21991889
UNC258238,1,22.019536,22019536
UNC258775,1,22.050242,22050242
JAX00244102,1,22.05162,22051620
UNC259179,1,22.087305,22087305
UNC259406,1,22.1046,22104600
UNC259893,1,22.146168,22146168
UNC260263,1,22.183945,22183945
UNC260669,1,22.224442,22224442
UNC261003,1,22.249794,22249794
UNC261713,1,22.290012,22290012
JAX00001439,1,22.290408,22290408
UNC262158,1,22.309279,22309279
UNC262857,1,22.349312,22349312
JAX00244148,1,22.357076,22357076
UNC263171,1,22.367196,22367196
UNC263810,1,22.40054,22400540
JAX00244173,1,22.428813,22428813
UNC264385,1,22.431417,22431417
UNC264416,1,22.468383,22468383
UNC264759,1,22.496689,22496689
UNC265227,1,22.530252,22530252
UNC265497,1,22.549254,22549254
JAX00244192,1,22.57319,22573190
JAX00244193,1,22.578938,22578938
UNC266348,1,22.603904,22603904
UNC266725,1,22.634298,22634298
JAX00001464,1,22.664189,22664189
UNC267740,1,22.694428,22694428
UNC268149,1,22.714421,22714421
JAX00244218,1,22.735387,22735387
JAX00001471,1,22.739878,22739878
UNC010529057,1,22.749886,22749886
UNC268995,1,22.761004,22761004
UNC269692,1,22.796362,22796362
UNC269899,1,22.809394,22809394
UNC270452,1,22.843828,22843828
UNC271085,1,22.892643,22892643
UNC271472,1,22.92281,22922810
JAX00244274,1,22.942936,22942936
UNC271981,1,22.957842,22957842
UNC272451,1,22.990988,22990988
UNC273319,1,23.05396,23053960
UNC273653,1,23.074477,23074477
JAX00001497,1,23.110817,23110817
UNC274279,1,23.114228,23114228
UNC274811,1,23.1521,23152100
UNC275165,1,23.183233,23183233
UNC275738,1,23.226333,23226333
UNC275951,1,23.243149,23243149
UNC276290,1,23.2862,23286200
UNC276402,1,23.308752,23308752
JAX00244336,1,23.334283,23334283
UNC277058,1,23.343933,23343933
UNC277576,1,23.379426,23379426
UNC278071,1,23.417587,23417587
UNC278457,1,23.449018,23449018
UNC278894,1,23.478078,23478078
UNC010530523,1,23.495995,23495995
UNC279507,1,23.516452,23516452
UNC280005,1,23.54839,23548390
JAX00001531,1,23.550572,23550572
UNC280284,1,23.576777,23576777
JAX00244376,1,23.592338,23592338
UNC280863,1,23.611879,23611879
JAX00244392,1,23.635672,23635672
JAX00244394,1,23.649406,23649406
UNC281272,1,23.650848,23650848
UNC281641,1,23.675949,23675949
UNC282212,1,23.711831,23711831
JAX00244426,1,23.73151,23731510
UNC282861,1,23.758483,23758483
UNC283190,1,23.777731,23777731
UNC283804,1,23.812848,23812848
UNC284694,1,23.876278,23876278
UNC284897,1,23.899616,23899616
UNC285476,1,23.935913,23935913
UNC286382,1,23.976611,23976611
JAX00244476,1,23.98768,23987680
backupUNC010532073,1,24.004775,24004775
UNC287101,1,24.009313,24009313
UNC287500,1,24.042124,24042124
UNC287784,1,24.066363,24066363
UNC288334,1,24.10834,24108340
UNC288956,1,24.139184,24139184
UNC289411,1,24.168465,24168465
UNC289995,1,24.206747,24206747
UNC290518,1,24.238432,24238432
UNC291039,1,24.272817,24272817
UNC291812,1,24.30519,24305190
JAX00244590,1,24.319366,24319366
UNC292291,1,24.335378,24335378
JAX00244609,1,24.356543,24356543
UNC292653,1,24.361913,24361913
UNC293247,1,24.404495,24404495
UNC293808,1,24.435251,24435251
UNC294157,1,24.453564,24453564
JAX00244636,1,24.480053,24480053
UNC295267,1,24.50964,24509640
UNC295523,1,24.521247,24521247
JAX00244653,1,24.523126,24523126
UNC296454,1,24.567974,24567974
UNC010440650,1,24.605537,24605537
UNC297129,1,24.608489,24608489
UNC297679,1,24.633909,24633909
UNC298040,1,24.664155,24664155
UNC298468,1,24.682449,24682449
UNC298792,1,24.700496,24700496
UNC300429,1,24.813217,24813217
UNC300940,1,24.845133,24845133
UNC301459,1,24.881014,24881014
UNC302007,1,24.9152,24915200
UNC302619,1,24.950487,24950487
UNC302824,1,24.978784,24978784
UNC303258,1,25.008192,25008192
UNC303470,1,25.030087,25030087
JAX00244772,1,25.04384,25043840
JAX00244775,1,25.066953,25066953
UNC304098,1,25.076347,25076347
UNC304526,1,25.1102,25110200
UNC304770,1,25.145269,25145269
UNC305044,1,25.173786,25173786
UNC305368,1,25.200434,25200434
UNC305681,1,25.234898,25234898
UNC306419,1,25.284899,25284899
UNC306690,1,25.302634,25302634
UNC307271,1,25.351001,25351001
JAX00001667,1,25.363504,25363504
UNC307551,1,25.373556,25373556
UNC307742,1,25.400753,25400753
UNC308448,1,25.474741,25474741
UNC309005,1,25.509963,25509963
UNC309235,1,25.5299,25529900
UNC309730,1,25.5712,25571200
UNC309997,1,25.602755,25602755
UNC310436,1,25.641993,25641993
JAX00001692,1,25.697943,25697943
UNC311195,1,25.700998,25700998
UNC312117,1,25.739699,25739699
UNC312831,1,25.782099,25782099
UNC313243,1,25.807012,25807012
JAX00244974,1,25.88199,25881990
UNC314592,1,25.898177,25898177
JAX00244982,1,25.919725,25919725
UNC315252,1,25.940852,25940852
UNC316811,1,26.028848,26028848
UNC317129,1,26.047253,26047253
UNC317647,1,26.087768,26087768
UNC010440931,1,26.102661,26102661
UNC318124,1,26.113425,26113425
UNC318619,1,26.157206,26157206
JAX00245029,1,26.1596,26159600
UNC319005,1,26.183052,26183052
JAX00245032,1,26.214245,26214245
UNC320073,1,26.225564,26225564
UNC320670,1,26.253481,26253481
UNC321690,1,26.308002,26308002
UNC321721,1,26.310333,26310333
UNC322195,1,26.358689,26358689
UNC323488,1,26.455114,26455114
UNC010535074,1,26.645442,26645442
UNC327331,1,26.694889,26694889
JAX00245113,1,26.700541,26700541
JAX00245123,1,26.7534,26753400
JAX00001782,1,26.914143,26914143
UNC330819,1,26.914881,26914881
UNC333485,1,27.09227,27092270
UNC337071,1,27.364775,27364775
JAX00001831,1,27.558092,27558092
UNC339202,1,27.569004,27569004
UNC340151,1,27.673833,27673833
UNC343081,1,28.032557,28032557
backupUNC011181136,1,28.092722,28092722
UNC010537386,1,28.154675,28154675
UNC346097,1,28.274517,28274517
UNC347566,1,28.435627,28435627
UNC010054938,1,28.610405,28610405
UNC349593,1,28.613252,28613252
UNC010055709,1,28.843416,28843416
UNC352920,1,28.884624,28884624
JAX00001940,1,29.001666,29001666
JAX00245377,1,29.003466,29003466
JAX00245379,1,29.028517,29028517
UNC355453,1,29.078404,29078404
JAX00245388,1,29.140855,29140855
UNC010058011,1,29.161192,29161192
JAX00001960,1,29.263597,29263597
JAX00001962,1,29.297844,29297844
UNC359010,1,29.323033,29323033
JAX00001969,1,29.395417,29395417
UNC361622,1,29.577722,29577722
backupUNC010059535,1,29.587166,29587166
UNC363662,1,29.786875,29786875
UNC365663,1,30.00962,30009620
backupUNC010060568,1,30.020863,30020863
backupUNC010060795,1,30.320509,30320509
UNC368438,1,30.341916,30341916
UNC369354,1,30.423841,30423841
UNC370888,1,30.570791,30570791
UNC371148,1,30.60764,30607640
UNC371742,1,30.658485,30658485
JAX00245570,1,30.677668,30677668
UNC371950,1,30.715615,30715615
UNC372374,1,30.758274,30758274
backupUNC010061308,1,30.774797,30774797
UNC372930,1,30.801684,30801684
UNC373330,1,30.845589,30845589
UNC373557,1,30.883225,30883225
UNC374016,1,30.915001,30915001
UNC374362,1,30.976991,30976991
UNC374674,1,31.02,31020000
JAX00002092,1,31.047545,31047545
JAX00245639,1,31.058299,31058299
UNC375193,1,31.058925,31058925
JAX00245647,1,31.085206,31085206
UNC375681,1,31.103369,31103369
JAX00245661,1,31.134727,31134727
UNC376451,1,31.153698,31153698
UNC377023,1,31.187964,31187964
UNC377508,1,31.227811,31227811
UNC378094,1,31.277378,31277378
UNC378383,1,31.331027,31331027
UNC378818,1,31.372759,31372759
backupUNC010062452,1,31.405679,31405679
UNC379113,1,31.407688,31407688
UNC379621,1,31.451054,31451054
UNC380599,1,31.559181,31559181
UNC380748,1,31.578988,31578988
UNC380880,1,31.618628,31618628
UNC381552,1,31.663025,31663025
UNC010062500,1,31.663163,31663163
JAX00002140,1,31.669084,31669084
UNC382234,1,31.7283,31728300
UNC382696,1,31.76764,31767640
UNC383081,1,31.828532,31828532
UNC383274,1,31.857418,31857418
UNC383727,1,31.884575,31884575
JAX00002160,1,31.955642,31955642
UNC384787,1,32.0028,32002800
UNC385016,1,32.035059,32035059
UNC385417,1,32.082234,32082234
UNC386035,1,32.16708,32167080
UNC386248,1,32.195613,32195613
UNC387018,1,32.253378,32253378
JAX00245787,1,32.296188,32296188
UNC388010,1,32.314294,32314294
JAX00245797,1,32.34179,32341790
UNC389166,1,32.398326,32398326
UNC389352,1,32.418795,32418795
UNC389737,1,32.468011,32468011
UNC390305,1,32.523513,32523513
JAX00245836,1,32.526964,32526964
UNC390703,1,32.564574,32564574
UNC391011,1,32.597437,32597437
backupUNC010539556,1,32.634721,32634721
UNC391961,1,32.647989,32647989
JAX00245877,1,32.724914,32724914
UNC392954,1,32.729578,32729578
UNC394473,1,32.828663,32828663
JAX00245909,1,32.861803,32861803
UNC394961,1,32.864214,32864214
UNC010063271,1,32.925434,32925434
UNC396545,1,32.970768,32970768
JAX00002239,1,32.988785,32988785
UNC397206,1,33.032429,33032429
UNC010539663,1,33.033973,33033973
UNC398516,1,33.132898,33132898
UNC399108,1,33.174345,33174345
UNC400048,1,33.243836,33243836
UNC400200,1,33.259658,33259658
JAX00002267,1,33.370176,33370176
UNC401821,1,33.371703,33371703
UNC402209,1,33.392282,33392282
JAX00246070,1,33.428717,33428717
UNC402814,1,33.447236,33447236
UNC403880,1,33.499298,33499298
UNC404611,1,33.542534,33542534
UNC405147,1,33.578258,33578258
UNC405774,1,33.630808,33630808
JAX00246113,1,33.647454,33647454
UNC406061,1,33.649301,33649301
UNC406743,1,33.697351,33697351
UNC010540261,1,33.721638,33721638
UNC407455,1,33.731402,33731402
JAX00246131,1,33.740146,33740146
UNC407727,1,33.745742,33745742
B6_01-033811444-S,1,33.754599,33754599
UNC408010,1,33.762535,33762535
JAX00246144,1,33.789118,33789118
UNC408340,1,33.794732,33794732
UNC408563,1,33.815202,33815202
UNC408807,1,33.827517,33827517
UNC409387,1,33.860983,33860983
UNC409541,1,33.867683,33867683
UNC410159,1,33.891156,33891156
JAX00246170,1,33.899374,33899374
UNC410424,1,33.902274,33902274
UNC410901,1,33.926878,33926878
UNC411215,1,33.940907,33940907
JAX00246189,1,33.947365,33947365
UNC411472,1,33.953443,33953443
UNC411848,1,33.966908,33966908
UNC412410,1,33.988381,33988381
UNC412688,1,34.001076,34001076
UNC412921,1,34.020565,34020565
UNC413286,1,34.041701,34041701
UNC413360,1,34.046768,34046768
UNC413634,1,34.061957,34061957
JAX00002319,1,34.07214,34072140
UNC413954,1,34.084971,34084971
UNC414357,1,34.103495,34103495
UNC414561,1,34.113703,34113703
JAX00246237,1,34.114774,34114774
UNC010442447,1,34.119015,34119015
UNC414867,1,34.126653,34126653
UNC415288,1,34.147211,34147211
UNC415620,1,34.162961,34162961
JAX00246252,1,34.173196,34173196
UNC416008,1,34.178623,34178623
UNC416328,1,34.199749,34199749
UNC416643,1,34.214878,34214878
UNC416870,1,34.225808,34225808
UNC417190,1,34.245965,34245965
UNC417558,1,34.264675,34264675
UNC417887,1,34.280556,34280556
UNC418172,1,34.297346,34297346
UNC418392,1,34.311794,34311794
UNC418645,1,34.324849,34324849
UNC419632,1,34.377379,34377379
UNC420009,1,34.394611,34394611
UNC420225,1,34.406549,34406549
backupUNC010066723,1,34.413492,34413492
UNC420525,1,34.42838,34428380
JAX00246331,1,34.431511,34431511
UNC420638,1,34.434394,34434394
UNC421161,1,34.458832,34458832
UNC421398,1,34.475749,34475749
UNC421584,1,34.487132,34487132
JAX00002354,1,34.513356,34513356
UNC422528,1,34.552517,34552517
JAX00246365,1,34.552843,34552843
UNC423396,1,34.59781,34597810
UNC423980,1,34.623625,34623625
JAX00246388,1,34.626688,34626688
UNC425112,1,34.679209,34679209
UNC425729,1,34.70634,34706340
UNC426583,1,34.759027,34759027
UNC427689,1,34.815613,34815613
JAX00246468,1,34.828647,34828647
JAX00002377,1,34.828665,34828665
UNC427885,1,34.835546,34835546
UNC428507,1,34.882738,34882738
UNC429302,1,34.951252,34951252
UNC010542162,1,34.951753,34951753
JAX00246508,1,34.981693,34981693
UNC429913,1,34.98384,34983840
UNC430594,1,35.035293,35035293
UNC431070,1,35.066466,35066466
UNC010442706,1,35.102343,35102343
UNC432097,1,35.122503,35122503
UNC432749,1,35.152984,35152984
UNC433296,1,35.190459,35190459
UNC434983,1,35.300465,35300465
UNC435822,1,35.348192,35348192
UNC436468,1,35.379623,35379623
JAX00246633,1,35.405706,35405706
UNC437077,1,35.418706,35418706
UNC438077,1,35.465384,35465384
UNC438854,1,35.526032,35526032
JAX00246679,1,35.563447,35563447
UNC439302,1,35.572866,35572866
UNC440036,1,35.612876,35612876
UNC440633,1,35.63782,35637820
JAX00246703,1,35.65245,35652450
UNC441788,1,35.711743,35711743
UNC442185,1,35.737815,35737815
UNC443247,1,35.805441,35805441
UNC443490,1,35.819487,35819487
JAX00246757,1,35.843651,35843651
JAX00002454,1,35.878973,35878973
UNC444874,1,35.901249,35901249
UNC445460,1,35.930302,35930302
UNC445897,1,35.952663,35952663
JAX00246839,1,36.007252,36007252
UNC446936,1,36.015153,36015153
UNC447572,1,36.063497,36063497
JAX00002469,1,36.077539,36077539
JAX00246861,1,36.078585,36078585
UNC448278,1,36.105883,36105883
UNC449157,1,36.149348,36149348
UNC449992,1,36.196141,36196141
UNC450817,1,36.241924,36241924
UNC452094,1,36.328807,36328807
UNC453140,1,36.408692,36408692
UNC453980,1,36.467927,36467927
UNC454349,1,36.500555,36500555
UNC455081,1,36.565686,36565686
UNC455417,1,36.590741,36590741
JAX00247063,1,36.606277,36606277
UNC455695,1,36.621541,36621541
UNC456277,1,36.679987,36679987
JAX00002519,1,36.714306,36714306
UNC457059,1,36.72592,36725920
UNC458188,1,36.78321,36783210
backupUNC010548191,1,36.785103,36785103
JAX00002525,1,36.811728,36811728
UNC458623,1,36.812823,36812823
UNC459226,1,36.850696,36850696
JAX00002531,1,36.859988,36859988
UNC459946,1,36.911745,36911745
UNC460218,1,36.942263,36942263
UNC460838,1,36.994601,36994601
JAX00247202,1,37.016554,37016554
JAX00247210,1,37.030925,37030925
UNC461326,1,37.03213,37032130
JAX00247218,1,37.044084,37044084
UNC010549141,1,37.055248,37055248
UNC462268,1,37.088166,37088166
UNC462996,1,37.124077,37124077
UNC463692,1,37.162686,37162686
backupUNC011221975,1,37.194145,37194145
UNC464597,1,37.222967,37222967
UNC465365,1,37.270082,37270082
UNC465785,1,37.312571,37312571
UNC466142,1,37.356853,37356853
UNC466554,1,37.404527,37404527
UNC466794,1,37.42895,37428950
UNC467207,1,37.471701,37471701
JAX00247348,1,37.477272,37477272
UNC467761,1,37.504838,37504838
UNC468109,1,37.525527,37525527
JAX00247364,1,37.535845,37535845
JAX00002582,1,37.557939,37557939
UNC468545,1,37.561494,37561494
JAX00247383,1,37.582728,37582728
UNC469015,1,37.593862,37593862
UNC469219,1,37.615635,37615635
UNC469448,1,37.63925,37639250
UNC469748,1,37.652803,37652803
UNC470039,1,37.679148,37679148
JAX00247421,1,37.710152,37710152
UNC470398,1,37.710746,37710746
UNC470578,1,37.73508,37735080
UNC470729,1,37.754357,37754357
UNC470806,1,37.780914,37780914
UNC471090,1,37.820001,37820001
UNC471746,1,37.88261,37882610
UNC472065,1,37.907046,37907046
UNC472154,1,37.922054,37922054
JAX00247447,1,37.926644,37926644
UNC472399,1,37.945992,37945992
UNC472554,1,37.962474,37962474
UNC472726,1,37.993747,37993747
UNC472864,1,38.007047,38007047
UNC473155,1,38.042748,38042748
UNC473267,1,38.063872,38063872
UNC473434,1,38.087107,38087107
UNC473598,1,38.111284,38111284
UNC473770,1,38.135181,38135181
UNC474004,1,38.153339,38153339
JAX00191379,1,38.157636,38157636
UNC010551393,1,38.174018,38174018
UNC474350,1,38.181072,38181072
UNC474632,1,38.205289,38205289
UNC474803,1,38.217911,38217911
UNC475257,1,38.252932,38252932
JAX00247505,1,38.262607,38262607
UNC475628,1,38.277512,38277512
UNC476250,1,38.323059,38323059
UNC476660,1,38.347178,38347178
UNC477018,1,38.366118,38366118
UNC477390,1,38.391811,38391811
UNC477777,1,38.420894,38420894
JAX00247565,1,38.436038,38436038
UNC478124,1,38.441335,38441335
JAX00191390,1,38.467132,38467132
UNC478568,1,38.46874,38468740
JAX00247585,1,38.477112,38477112
UNC478743,1,38.479843,38479843
UNC479354,1,38.509265,38509265
UNC479707,1,38.528148,38528148
